Kod,Institusi Pengajian
101,Universiti Darul Iman (UDM)
102,Universiti Islam Antarabangsa Malaysia (UIAM)
103,Universiti Kebangsaan Malaysia (UKM)
104, Universiti Malaya (UM)
105,Universiti Malaysia Kelantan (UMK) 
106,Universiti Malaysia Pahang (UMP) 
107,Universiti Malaysia Perlis (UNIMAP) 
108,Universiti Malaysia Sabah (UMS) 
109,Universiti Malaysia Sarawak (UNIMAS) 
110,Universiti Malaysia Terengganu (UMT) 
111,Universiti Pendidikan Sultan Idris (UPSI)
112, Universiti Pertahanan Nasional Malaysia (UPNM)
113,Universiti Putra Malaysia (UPM)
114,Universiti Sains Islam Malaysia (USIM)
115,Universiti Sains Malaysia (USM)
116,Universiti Sultan Zainal Abidin (UNISZA)
117, Universiti Teknikal Malaysia Melaka (UTeM)
118,Universiti Teknologi Malaysia (UTM)
119,Universiti Teknologi Mara (UiTM) 
120,Universiti Teknologi Tun Hussein Onn Malaysia (UTHM)
121,Universiti Utara Malaysia (UUM)
131,Advanced Technology Training Centre(ADTEC)
132,Akademi Seni Budaya dan Warisan Kebangsaan (ASWARA)
133,"Darul Quran, Jabatan Kemajuan Islam Malaysia (JAKIM)"
134, Giat MARA
135,Institut Kejururawatan
136,Institut Kemahiran Belia Negara (IKBN)
137, Institut Kemahiran MARA (IKM)
138,Institut Kemahiran Tinggi Belia Negara (IKTBN)
139,Institut Kemahiran Tinggi PERDA (PERDA-TECH)
140,Institut Kesihatan
141,Institut Kraf Negara
142,Institut Latihan Kesihatan Angkatan Tentera (INSAN)
143,Institut Latihan Perindustrian (ILP)
144, Institut Pendidikan Guru
145,Institut Pertanian
146,Institut Tadbiran Awam Negara (INTAN)
147,Kolej Kemahiran Tinggi Mara (KKTM)
148,Kolej Komuniti
149,Kolej MARA
150,Kolej Profesional MARA
151,Kolej Vokasional Swasta Malaysian Aviation Training Academy (MATA)
152,Maktab Koperasi Malaysia 
153,Malaysian Institute of Technology Academy
154,Politeknik
160,Lain-lain IPTA/IPA (Nyatakan)
201,Asia Pacific University of Technology and Innovation (UCTI)
202,Multimedia University (MMU)
203,Universiti Industri Selangor (UNISEL)
204,Universiti Kuala Lumpur (UniKL)
205,Universiti MAHSA
206,Universiti Perubatan Antarabangsa (IMU)
207,"Universiti Perubatan, Sains dan Teknologi Asia (AIMST)"
208,Universiti Sains dan Teknologi Malaysia (MUST)
209,Universiti Teknologi Nasional (UNITEN)
210,Universiti Teknologi Petronas (UTP)
211,Universiti Terbuka Malaysia (OUM) 
212,Universiti Tun Abdul Razak (UNITAR) 
213,Universiti Tunku Abdul Rahman (UTAR)
230,Binary University Collage of Management & Entrepreneurship (BUCME)
231,Kolej Universiti Antarabangsa Sedaya (UCSI)
232,Kolej Universiti HELP (HUC)
233,Kolej Universiti Infrastruktur Kuala Lumpur (KLIUC)
234,Kolej Universiti INSANIAH (KUIN)
235,Kolej Universiti Islam Antarabangsa Selangor (KUIS)
236,Kolej Universiti Islam Melaka (KUIM)
237,Kolej Universiti SHAHPUTRA
238,Kolej Universiti Sunway (SUC)
239,Kolej Universiti Teknologi Antarabangsa Twintech (IUCTT)
240,Kolej Universiti Teknologi Kreatif Limkokwing (LUCT)
241,Kolej Universiti Teknologi Pengurusan Malaysia (KUTPM)
242,"Kolej Universiti Tunku Abdul Rahman
(KTAR)"
260,British Malaysian Institute (BMI) 
261,German Malaysian Institute (GMI) 
262,Institut Informatics
263,Kolej Antarabangsa INTI 
264,Kolej Binary
265,Kolej Damansara Utama (KDU)
266,Kolej Islam Antarabangsa Sultan Ismail Petra (KIAS)
267,Kolej Islam Negeri
268,Kolej Kejururawatan Swasta
269,Kolej Kulim Hi-Tech/Institut Teknologi Tinggi Kulim
270,Kolej Pengajian Strategik dan Teknologi
271,Kolej Poly-Tech Mara
272,Kolej SAL
273,Kolej Stamford
274,Kolej Teknologi Cosmopoint
275,Kolej Teknologi Timur
276,Malaysia France Institute (MFI)
277,Penang Skill Development Centre (PSDC)
278,Pusat Teknologi dan Pengurusan Lanjutan (PTPL)
279,Taylor?s Collage
290,Lain-lain IPTS bertaraf Universiti/Kolej Universiti (Nyatakan)
291,Lain-lain IPTS bukan bertaraf Universiti (Nyatakan)
292,Cawangan Universiti/Kolej Luar Negara di Malaysia (Nyatakan)
301,Australia 
302,China 
303,India 
304,Indonesia 
305,Ireland
306,Jepun
307,Jerman 
308,Jordan 
309,Kanada 
310,Korea 
311,Mesir
312,New Zealand
313,Perancis 
314,Rusia 
315,Singapura 
316,Switzerland 
317,Taiwan
318,United Kingdom (UK)
319,United State of Amerika (USA)
330,Lain-lain universiti/kolej/politeknik luar negara (Nyatakan)
