Kod,Etnik
1100,Melayu
2111,Bateq
2112,Jahai
2113,Kensiu
2114,Kintak
2115,Lanoh
2116,Mendriq
2121,Che Wong 
2122,Jahut
2123,Mahmeri
2124,Semai
2125,Semoq Beri
2126,Temiar
2131,Jakun
2132,Orang Kanaq
2133,Orang Kuala
2134,Orang Seletar
2135,Semalai
2136,Temuan
3110,Bajau
3120,Balabak/Molbog
3130,Bisaya/Bisayah
3140,Bulongan
3150,Dusun
3160,Idahan/Ida'an
3170,Iranun/Ilanun
3180,Kadayan/Kedayan
3190,Kadazan
3200,Lundayuh/Lundayeh
3210,Melayu Brunei
3220,Murut
3230,Orang Sungai/Sungoi
3240,Rungus
3250,Suluk
3260,Tidung
3998,Bumiputera Sabah Lain
4110,Bidayuh
4120,Bisayah(Sarawak)
4130,Bukitan
4140,Iban
4150,Kadayan(Sarawak)
4160,Kajang
4170,Kanowit
4180,Kayan
4190,Kejaman
4200,Kalabit
4210,Kenyah
4220,Lahanan
4230,Lisum
4240,Lugat
4250,Lun Bawang/Murut(Sarawak)
4260,Melanau
4270,Penan
4280,Punan
4290,Sabup
4300,Sekapan
4310,Sian
4320,Sipeng
4330,Tabun
4340,Tagal
4350,Tanjong
4360,Ukit
4998,Bumiputera Sarawak Lain
5110,Foochow
5120,Hainan
5130,Henghua
5140,Hokchia
5150,Hokchiu
5160,Hokkien
5170,Kantonis
5180,Khek (Hakka)
5190,Kwongsai
5200,Teochew
5998,Orang Cina Lain
6110,India Muslim/Malabari
6120,Malayali
6130,Punjabi (kecuali Sikh)
6140,Sikh
6150,Sinhala
6160,Tamil India
6170,Tamil Sri Lanka
6180,Telegu/Telugu
6998,Orang India Lain
7110,Arab
7120,Bangladesh
7130,Indonesia
7140,Jepun
7150,Kampuchea
7160,Keturunan Pulau Kokos
7170,Korea
7180,Myanmar
7190,Nepal
7200,Pakistan
7210,Philipina
7220,Thailand
7230,Vietnam
7998,Bangsa Asia lain
8110,Denmark
8120,Perancis
8130,Jerman
8140,Itali
8150,Sepanyol
8160,United Kingdom
8998,Bangsa Eropah Lain
9110,Afrika
9120,Amerika Syarikat
9130,Australia
9140,New Zealand
9150,Serani
9998,Lain-lain
